sDate,Open,High,Low,Close,Volume
07/18/2023,"124.91","124.99","123.30","124.08","21,071,250"
07/17/2023,"126.06","127.28","124.50","125.06","20,675,301"
07/14/2023,"125.13","127.09","124.90","125.70","20,499,779"
07/13/2023,"121.54","125.34","121.06","124.83","31,535,850"
07/12/2023,"119.30","120.96","119.00","119.62","22,059,609"
07/11/2023,"116.76","118.23","115.83","117.71","18,286,570"
07/10/2023,"119.07","119.07","116.64","116.87","32,960,078"
07/07/2023,"120.89","121.75","120.09","120.14","20,997,670"
07/06/2023,"120.64","121.15","119.25","120.93","17,750,180"
07/05/2023,"120.06","123.37","120.06","122.63","17,830,350"
07/03/2023,"120.32","121.02","119.71","120.56","13,871,720"
06/30/2023,"121.10","122.03","120.88","120.97","23,871,760"
06/29/2023,"120.09","120.91","119.21","120.01","18,517,461"
06/28/2023,"117.96","121.27","117.60","121.08","19,753,150"
06/27/2023,"117.84","119.90","116.91","119.01","27,221,711"
06/26/2023,"121.47","122.72","118.99","119.09","23,184,961"
06/23/2023,"122.04","123.44","121.86","123.02","29,573,119"
06/22/2023,"120.66","123.94","119.60","123.87","20,781,891"
06/21/2023,"123.24","123.41","120.86","121.26","22,612,000"
06/20/2023,"123.54","125.18","122.83","123.85","22,698,029"
06/16/2023,"126.70","126.70","123.79","124.06","56,699,199"
06/15/2023,"123.88","126.16","123.14","125.79","24,517,070"
06/14/2023,"123.80","124.79","122.16","124.38","24,659,619"
06/13/2023,"125.65","125.86","123.85","124.43","19,287,650"
06/12/2023,"123.40","124.75","122.35","124.35","22,289,631"
06/09/2023,"122.56","124.29","122.42","122.87","20,313,680"
06/08/2023,"122.59","123.73","122.01","122.67","24,815,000"
06/07/2023,"127.58","129.55","122.63","122.94","34,179,352"
06/06/2023,"126.60","128.88","125.97","127.91","19,450,131"
06/05/2023,"124.61","127.99","124.38","126.63","22,672,520"
06/02/2023,"124.49","126.75","124.35","125.23","19,367,449"
06/01/2023,"123.50","125.04","123.30","124.37","25,017,670"
05/31/2023,"123.70","124.90","123.10","123.37","41,548,762"
05/30/2023,"126.29","126.38","122.89","124.64","27,230,730"
05/26/2023,"124.07","126.00","123.29","125.43","25,169,039"
05/25/2023,"125.21","125.98","122.90","124.35","33,812,727"
05/24/2023,"121.88","122.75","120.75","121.64","23,087,930"
05/23/2023,"124.93","125.42","123.05","123.29","24,477,949"
05/22/2023,"123.51","127.05","123.45","125.87","29,760,240"
05/19/2023,"124.20","126.48","122.72","123.25","30,268,859"
05/18/2023,"121.56","123.90","121.49","123.52","27,014,471"
05/17/2023,"120.18","122.28","119.46","121.48","26,659,561"
05/16/2023,"116.83","121.20","116.83","120.09","32,370,109"
05/15/2023,"116.49","118.80","116.48","116.96","22,107,869"
05/12/2023,"117.00","118.26","116.55","117.92","31,293,779"
05/11/2023,"115.86","118.44","114.93","116.90","57,115,078"
05/10/2023,"108.55","113.51","108.48","112.28","47,533,461"
05/09/2023,"108.78","110.60","107.73","107.94","24,782,439"
05/08/2023,"105.80","108.42","105.79","108.24","17,266,020"
05/05/2023,"105.32","106.44","104.74","106.22","20,710,631"
05/04/2023,"106.16","106.30","104.70","105.21","19,780,641"
05/03/2023,"106.22","108.13","105.62","106.12","17,116,330"
05/02/2023,"107.66","107.73","104.50","105.98","20,343,119"
05/01/2023,"107.72","108.68","107.50","107.71","20,926,260"
04/28/2023,"107.80","108.29","106.04","108.22","23,957,869"
04/27/2023,"105.23","109.15","104.42","108.37","38,235,219"
04/26/2023,"105.56","107.02","103.27","104.45","37,068,168"
04/26/2023,"105.56","107.02","103.27","104.45","37,068,168"
04/25/2023,"106.61","107.44","104.56","104.61","31,408,119"
04/24/2023,"106.05","107.32","105.36","106.78","21,410,910"
04/21/2023,"106.09","106.64","105.49","105.91","22,379,020"
04/20/2023,"104.65","106.89","104.64","105.90","22,515,330"
04/19/2023,"104.22","105.73","103.80","105.02","16,732,020"
04/18/2023,"107.00","107.05","104.78","105.12","17,641,369"
04/17/2023,"105.43","106.71","105.32","106.42","29,043,439"
04/14/2023,"107.69","109.58","107.59","109.46","20,758,689"
04/13/2023,"106.47","108.27","106.44","108.19","21,650,750"
04/12/2023,"107.39","107.59","104.97","105.22","22,761,570"
04/11/2023,"106.92","107.22","105.28","106.12","18,721,279"
04/10/2023,"107.39","107.97","105.60","106.95","19,741,520"
04/06/2023,"105.77","109.63","104.82","108.90","34,684,152"
04/05/2023,"106.12","106.54","104.10","104.95","21,864,199"
04/04/2023,"104.84","106.10","104.60","105.12","20,377,230"
04/03/2023,"102.67","104.95","102.38","104.91","20,719,859"
03/31/2023,"101.71","104.19","101.44","104.00","28,107,949"
03/30/2023,"101.44","101.61","100.29","101.32","25,009,830"
03/29/2023,"102.72","102.82","101.03","101.90","26,148,301"
03/28/2023,"103.00","103.00","100.28","101.36","24,913,480"
03/27/2023,"105.32","105.40","102.63","103.06","25,393,420"
03/24/2023,"105.74","106.16","104.74","106.06","25,245,010"
03/23/2023,"105.89","107.10","105.41","106.26","31,385,820"
03/22/2023,"105.14","107.51","104.21","104.22","32,336,881"
03/21/2023,"101.98","105.96","101.86","105.84","33,122,801"
03/20/2023,"101.06","102.58","100.79","101.93","26,033,920"
03/17/2023,"100.84","103.49","100.75","102.46","76,140,312"
03/16/2023,"96.57","101.97","95.87","101.07","54,588,199"
03/15/2023,"93.54","97.25","93.04","96.55","38,367,328"
03/14/2023,"93.07","94.83","92.78","94.25","32,303,881"
03/13/2023,"90.57","93.08","89.94","91.66","31,508,570"
03/10/2023,"92.50","93.18","90.80","91.01","32,850,090"
03/09/2023,"94.49","95.92","92.36","92.66","24,438,891"
03/08/2023,"94.41","96.24","94.41","94.65","25,395,199"
03/07/2023,"95.42","96.09","93.84","94.17","24,101,539"
03/06/2023,"94.36","96.30","94.30","95.58","28,288,211"
03/03/2023,"92.74","94.11","92.66","94.02","30,242,539"
03/02/2023,"89.86","92.48","89.77","92.31","23,344,561"
03/01/2023,"90.16","91.20","89.85","90.51","26,323,881"
02/28/2023,"89.54","91.45","89.52","90.30","30,546,910"
02/27/2023,"90.09","90.45","89.61","90.10","22,724,260"
02/24/2023,"89.63","90.13","88.86","89.35","31,295,619"
02/23/2023,"92.13","92.13","90.01","91.07","32,423,721"
02/22/2023,"91.93","92.36","90.87","91.80","29,891,141"
02/21/2023,"93.24","93.41","92.00","92.05","28,367,199"
02/17/2023,"95.07","95.75","93.45","94.59","31,095,070"
02/16/2023,"95.54","97.88","94.97","95.78","35,642,113"
02/15/2023,"94.74","97.34","94.36","97.10","37,029,887"
02/14/2023,"94.66","95.18","92.65","94.95","42,513,078"
02/13/2023,"95.01","95.35","94.05","95.00","43,116,559"
02/10/2023,"95.74","97.02","94.53","94.86","49,325,281"
02/09/2023,"100.54","100.61","93.86","95.46","97,798,570"
02/08/2023,"102.69","103.58","98.46","100.00","73,546,031"
02/07/2023,"103.63","108.67","103.55","108.04","33,738,832"
02/06/2023,"102.69","104.70","102.21","103.47","25,573,051"
02/03/2023,"103.51","108.02","103.30","105.22","36,823,422"
02/02/2023,"106.79","108.82","106.54","108.80","46,622,633"
02/01/2023,"99.74","102.19","98.42","101.43","26,392,570"
01/31/2023,"97.86","99.91","97.79","99.87","22,306,779"
01/30/2023,"98.75","99.41","97.52","97.95","24,365,141"
01/27/2023,"99.05","101.58","98.97","100.71","29,020,350"
01/26/2023,"98.28","99.21","96.82","99.16","24,542,061"
01/25/2023,"97.20","97.72","95.26","96.73","31,000,850"
01/24/2023,"99.55","101.09","98.70","99.21","27,391,369"
01/23/2023,"99.13","101.40","98.75","101.21","31,791,779"
01/20/2023,"95.95","99.42","95.91","99.28","53,704,762"
01/19/2023,"91.39","94.40","91.38","93.91","28,707,650"
01/18/2023,"92.94","93.59","91.40","91.78","19,641,619"
01/17/2023,"92.78","92.97","90.84","92.16","22,935,820"
01/13/2023,"91.53","92.98","90.93","92.80","18,630,711"
01/12/2023,"92.40","92.62","90.57","91.91","22,754,221"
01/11/2023,"90.06","92.45","89.74","92.26","25,998,840"
01/10/2023,"86.72","89.48","86.70","89.24","22,855,590"
01/09/2023,"89.20","90.83","88.58","88.80","22,996,680"
01/06/2023,"87.36","88.47","85.57","88.16","26,612,631"
01/05/2023,"88.07","88.21","86.56","86.77","23,136,080"
01/04/2023,"91.01","91.24","87.80","88.71","27,046,480"
01/03/2023,"89.83","91.55","89.02","89.70","20,738,461"
12/30/2022,"87.37","88.83","87.03","88.73","19,190,301"
12/29/2022,"87.03","89.37","86.99","88.95","18,280,660"
12/28/2022,"87.50","88.52","86.37","86.46","17,879,570"
12/27/2022,"89.31","89.50","87.54","87.93","15,470,870"
12/23/2022,"87.62","90.10","87.62","89.81","17,815,010"
12/22/2022,"88.93","89.18","86.94","88.26","23,656,070"
12/21/2022,"89.73","90.92","88.91","90.25","20,336,391"
12/20/2022,"88.73","89.78","88.04","89.63","21,976,850"
12/19/2022,"90.88","91.20","88.93","89.15","23,020,539"
12/16/2022,"91.20","91.75","90.01","90.86","48,485,512"
12/15/2022,"93.54","94.03","90.43","91.20","28,298,760"
12/14/2022,"95.54","97.22","93.94","95.31","26,452,939"
12/13/2022,"98.07","99.80","95.38","95.85","34,788,520"
12/12/2022,"93.09","93.87","91.90","93.56","27,380,949"
12/09/2022,"93.90","94.49","93.02","93.07","21,885,311"
12/08/2022,"95.69","95.87","93.80","93.95","25,593,230"
12/07/2022,"96.77","97.31","95.03","95.15","26,647,881"
12/06/2022,"99.67","100.21","96.76","97.31","20,877,619"
12/05/2022,"99.82","101.75","99.36","99.87","19,955,551"
12/02/2022,"99.37","101.15","99.17","100.83","18,821,529"
12/01/2022,"101.40","102.59","100.67","101.28","21,771,539"
11/30/2022,"95.12","101.45","94.67","101.45","39,888,070"
11/29/2022,"96.00","96.39","94.39","95.44","20,220,010"
11/28/2022,"97.20","97.83","95.89","96.25","19,981,971"
11/25/2022,"98.47","98.94","97.53","97.60","8,567,819"
11/23/2022,"97.34","99.07","97.34","98.82","17,568,859"
11/22/2022,"96.16","97.55","94.41","97.33","18,868,850"
11/21/2022,"97.56","98.72","95.67","95.83","18,696,869"
11/18/2022,"99.01","99.16","96.74","97.80","24,969,881"
11/17/2022,"97.18","99.48","97.10","98.50","21,818,730"
11/16/2022,"98.02","99.85","97.90","98.99","24,660,199"
11/15/2022,"98.67","100.42","97.02","98.72","31,830,971"
11/14/2022,"95.50","97.18","95.11","96.03","24,170,080"
11/11/2022,"94.71","97.36","94.16","96.73","30,569,109"
11/10/2022,"92.34","94.55","91.65","94.17","42,371,219"
11/09/2022,"88.55","89.49","87.36","87.40","26,743,881"
11/08/2022,"89.16","90.41","87.65","88.91","30,172,000"
11/07/2022,"87.34","88.94","86.96","88.65","26,899,881"
11/04/2022,"85.51","86.73","83.88","86.70","40,173,281"
11/03/2022,"86.35","86.55","83.45","83.49","48,510,359"
11/02/2022,"90.91","91.30","87.01","87.07","43,553,551"
11/01/2022,"95.59","96.17","90.43","90.50","43,220,602"
10/31/2022,"95.78","96.35","94.38","94.66","29,868,711"
10/28/2022,"92.53","96.86","92.32","96.58","35,696,930"
10/27/2022,"94.31","95.17","91.90","92.60","54,036,488"
10/26/2022,"96.76","98.54","94.57","94.82","71,671,805"
10/25/2022,"103.30","105.10","103.02","104.93","29,910,170"
10/24/2022,"102.09","103.10","100.30","102.97","24,680,830"
10/21/2022,"98.46","101.62","98.23","101.48","28,988,730"
10/20/2022,"100.82","103.00","99.97","100.53","25,125,080"
10/19/2022,"100.70","101.66","99.64","100.29","21,573,689"
10/18/2022,"103.94","104.22","100.65","101.39","21,610,539"
10/17/2022,"99.52","101.77","99.51","100.78","23,311,600"
10/14/2022,"100.63","101.29","97.03","97.18","22,624,830"
10/13/2022,"95.93","100.53","95.27","99.71","32,812,219"
10/12/2022,"98.27","99.65","97.67","98.30","17,343,430"
10/11/2022,"98.25","100.12","97.25","98.05","21,617,730"
10/10/2022,"99.85","99.99","97.87","98.71","16,529,900"
10/07/2022,"100.65","101.42","99.21","99.57","24,249,910"
10/06/2022,"101.50","103.73","101.50","102.24","17,156,240"
10/05/2022,"100.69","102.74","99.74","102.22","18,475,520"
10/04/2022,"101.04","102.72","101.04","102.41","22,580,930"
10/03/2022,"97.22","99.97","97.02","99.30","24,840,029"
09/30/2022,"97.73","99.49","96.03","96.15","26,277,830"
09/29/2022,"99.30","99.30","96.52","98.09","21,921,520"
09/28/2022,"98.02","101.40","97.80","100.74","24,617,000"
09/27/2022,"99.91","100.46","97.34","98.09","24,224,990"
09/26/2022,"98.61","100.44","98.38","98.81","22,437,939"
09/23/2022,"100.06","100.11","98.01","99.17","25,656,961"
09/22/2022,"99.45","101.68","99.41","100.57","21,272,680"
09/21/2022,"102.24","103.49","99.99","100.01","26,596,760"
09/20/2022,"102.88","103.17","101.12","101.83","24,001,670"
09/19/2022,"102.54","104.02","102.37","103.85","19,738,600"
09/16/2022,"102.97","104.03","101.86","103.63","64,540,121"
09/15/2022,"105.01","106.21","103.31","103.90","26,494,930"
09/14/2022,"105.44","106.10","104.50","105.87","22,115,811"
09/13/2022,"108.89","109.37","105.00","105.31","33,014,988"
09/12/2022,"111.99","112.64","110.93","111.87","19,732,910"
09/09/2022,"110.05","112.00","110.00","111.78","21,745,029"
09/08/2022,"109.18","110.58","108.06","109.42","21,660,650"
09/07/2022,"107.76","110.99","107.62","110.48","22,987,180"
09/06/2022,"108.14","108.88","106.51","107.48","20,565,051"
09/02/2022,"111.34","111.68","108.13","108.68","20,618,080"
09/01/2022,"109.20","111.22","108.19","110.55","22,784,391"
08/31/2022,"111.63","111.77","109.05","109.15","25,897,980"
08/30/2022,"111.03","111.37","108.80","109.91","20,548,199"
08/29/2022,"110.78","111.96","109.81","110.34","20,386,141"
08/26/2022,"115.81","116.60","111.22","111.30","31,698,670"
08/25/2022,"115.15","117.78","115.05","117.70","14,874,670"
08/24/2022,"114.45","115.72","113.78","114.70","16,051,170"
08/23/2022,"114.32","115.93","114.30","114.77","14,390,690"
08/22/2022,"116.10","116.50","114.67","115.07","19,316,020"
08/19/2022,"119.87","120.00","117.67","118.12","20,186,980"
08/18/2022,"120.23","121.69","119.55","120.86","15,652,030"
08/17/2022,"120.93","122.15","120.20","120.32","17,589,160"
08/16/2022,"122.32","123.23","121.54","122.51","15,626,170"
08/15/2022,"122.21","123.26","121.57","122.88","15,524,950"
08/12/2022,"121.16","122.65","120.40","122.65","16,121,090"
08/11/2022,"122.08","122.34","119.55","119.82","16,671,631"
08/10/2022,"119.59","121.78","119.36","120.65","20,497,020"
08/09/2022,"117.99","118.20","116.56","117.50","15,424,260"
08/08/2022,"119.12","120.86","117.83","118.14","17,061,109"
08/05/2022,"116.93","118.86","116.71","118.22","15,615,660"
08/04/2022,"118.30","119.50","117.71","118.87","15,757,700"
08/03/2022,"116.34","119.42","116.15","118.78","25,302,820"
08/02/2022,"114.43","117.08","114.26","115.90","17,911,039"
08/01/2022,"115.53","117.12","114.69","115.48","22,856,199"
07/29/2022,"113.40","116.90","113.23","116.64","31,336,180"
07/28/2022,"112.80","114.70","111.85","114.59","23,303,840"
07/27/2022,"109.60","114.40","108.42","113.60","41,474,621"
07/26/2022,"107.43","107.74","104.76","105.44","36,626,633"
07/25/2022,"108.88","110.58","107.01","108.21","28,289,939"
07/22/2022,"111.81","113.18","107.60","108.36","44,455,301"
07/21/2022,"115.09","115.21","111.91","115.04","27,267,850"
07/20/2022,"114.06","116.33","113.26","114.70","26,780,090"
07/19/2022,"111.73","114.81","110.50","114.62","30,992,330"
07/18/2022,"113.44","114.80","109.30","109.91","33,353,988"
07/15/2022,"112.96","114.00","111.82","112.77","34,330,760"
